Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,source_group,validation
96,96,barley flour,511,2.4,0.5,0.3,1.1,110.3,1.2,15.5,14.9,0.0,0.062,17.9,0.0,0.5,0.021,0.0,0.2,9.3,0.2,0.6,0.0,0.0,0.8,0.069,47.4,0.5,4.0,142.1,1.5,438.1,457.3,0.037,3.0,194.5,FOOD-DATA-GROUP2,Carbohydrates out-of-range
106,106,rice flour white,578,2.2,0.6,0.7,0.6,126.6,0.2,9.4,3.8,0.0,0.0,18.8,0.0,0.2,0.058,0.0,0.014,4.1,1.3,0.7,0.0,0.0,0.2,0.0,15.8,0.2,0.6,55.3,1.9,154.8,120.1,0.062,1.3,158.4,FOOD-DATA-GROUP2,Carbohydrates out-of-range
108,108,potato flour,571,0.5,0.1,0.063,0.2,133.0,5.6,11.0,9.4,0.0,0.042,10.4,0.0,0.0,0.4,0.043,0.0,0.06,5.6,0.8,1.2,6.1,0.0,0.4,0.0,104.0,0.3,2.2,104.0,0.5,268.8,1601.6,0.031,155.4,FOOD-DATA-GROUP2,Carbohydrates out-of-range
109,109,cornmeal yellow,581,2.7,0.3,0.5,1.0,124.7,2.5,11.2,6.1,0.0,0.011,17.6,0.0,0.2,0.072,0.0,0.085,1.6,0.4,0.3,0.0,0.0,0.2,0.0,4.7,0.1,1.7,50.2,0.3,155.4,222.9,0.069,1.0,151.1,FOOD-DATA-GROUP2,Carbohydrates out-of-range
111,111,arrowroot flour,457,0.1,0.019,0.088,0.036,112.8,0.0,0.4,4.4,0.0,0.002,14.6,0.0,0.013,0.043,0.0,0.0,0.0,0.2,0.032,0.0,0.0,0.0,0.0,51.2,0.045,0.4,3.8,0.6,6.4,14.1,0.0,0.067,169.3,FOOD-DATA-GROUP2,Carbohydrates out-of-range
114,114,cornstarch,488,0.03,0.077,0.046,0.012,116.8,0.0,0.3,1.2,0.0,0.093,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.097,0.6,3.8,0.028,16.6,3.8,0.096,0.081,121.535,FOOD-DATA-GROUP2,Carbohydrates out-of-range
120,120,chocolate pie crust,881,40.8,8.6,26.4,3.7,117.4,47.9,11.1,4.9,0.0,0.9,9.1,0.0,0.6,0.1,0.0,0.5,5.6,0.3,0.049,0.0,0.0,3.3,0.078,58.2,1.4,7.8,72.8,3.3,218.4,340.3,0.033,3.8,240.2,FOOD-DATA-GROUP2,Carbohydrates out-of-range
195,195,chocolate semisweet,806,50.4,29.8,16.7,1.6,107.4,91.6,7.1,9.9,0.0,0.042,1.2,0.0,0.023,0.094,0.0,0.2,0.7,0.2,0.036,0.0,0.0,0.4,0.066,53.8,1.2,5.3,193.2,1.3,221.8,613.2,0.055,2.7,233.9,FOOD-DATA-GROUP2,Carbohydrates out-of-range
220,220,triticale,645,4.0,0.7,0.4,1.8,138.5,0.0,25.1,0.0,0.0,0.049,20.2,0.0,0.8,0.1,0.0,0.3,2.7,2.5,0.3,0.0,0.0,1.7,0.0,71.0,0.9,4.9,249.6,6.2,687.4,637.4,0.0,6.6,243.5,FOOD-DATA-GROUP2,Carbohydrates out-of-range
229,229,couscous dry,650,1.1,0.2,0.2,0.4,134.0,0.0,22.1,8.7,0.0,0.031,14.8,0.0,0.3,0.059,0.0,0.1,6.0,2.2,0.2,0.0,0.0,0.0,0.0,41.5,0.4,1.9,76.1,1.3,294.1,287.2,0.0,1.4,209.3,FOOD-DATA-GROUP2,Carbohydrates out-of-range
244,244,teff raw,708,4.6,0.9,1.1,2.1,141.1,3.6,25.7,15.4,0.0,0.053,17.0,0.0,0.8,0.0,0.0,0.5,6.5,1.8,0.9,0.0,0.0,0.2,0.03,347.4,1.6,14.7,355.1,17.8,828.0,824.1,0.038,7.0,548.9,FOOD-DATA-GROUP2,Carbohydrates out-of-range
246,246,millet raw,756,8.4,1.4,1.5,4.3,145.7,0.0,22.0,17.0,0.0,0.013,17.3,0.0,0.8,0.2,0.0,0.6,9.4,1.7,0.8,0.0,0.0,0.1,0.027,16.0,1.5,6.0,228.0,3.3,570.0,390.0,0.0,3.4,215.1,FOOD-DATA-GROUP2,Carbohydrates out-of-range
257,257,kamut raw,627,4.1,0.4,0.4,1.1,130.9,15.2,27.3,16.9,0.0,0.012,20.4,0.035,0.0,1.1,0.0,0.0,0.3,11.8,1.7,0.5,0.0,0.0,1.1,0.043,44.6,1.0,8.2,249.2,5.3,718.0,829.6,0.1,180.788,FOOD-DATA-GROUP2,Carbohydrates out-of-range
258,258,wheat durum,651,4.7,0.9,0.7,1.9,136.6,0.0,26.3,0.0,0.0,0.032,21.0,0.0,0.8,0.054,0.0,0.2,12.9,1.8,0.8,0.0,0.0,0.0,0.0,65.3,1.1,6.8,276.5,5.8,975.4,827.5,0.2,8.0,239.7,FOOD-DATA-GROUP2,Carbohydrates out-of-range
259,259,sorghum,651,6.3,0.9,1.9,2.6,143.3,0.0,21.7,12.1,0.0,0.045,17.7,0.0,0.5,0.0,0.0,0.3,5.6,0.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0,8.4,0.0,0.0,551.0,672.0,0.0,0.0,245.6,FOOD-DATA-GROUP2,Carbohydrates out-of-range
260,260,white wheat,657,3.3,0.5,0.4,1.4,145.7,0.8,21.7,23.4,0.0,0.094,18.4,0.0,0.7,0.058,0.0,0.2,8.4,1.8,0.7,0.0,0.0,1.9,0.089,61.4,0.7,8.8,178.6,7.3,681.6,829.4,0.0,6.4,264.3,FOOD-DATA-GROUP2,Carbohydrates out-of-range
261,261,rye,571,2.8,0.3,0.4,1.3,128.2,1.7,17.5,25.5,0.0,0.078,17.9,0.0,0.5,0.036,0.0,0.4,7.2,2.5,0.5,0.0,0.0,1.4,0.092,40.6,0.6,4.4,185.9,4.4,561.1,861.9,0.032,4.5,219.0,FOOD-DATA-GROUP2,Carbohydrates out-of-range
262,262,spelt raw,588,4.2,0.7,0.8,2.2,122.1,11.9,25.4,18.6,0.0,0.076,19.2,0.0,0.6,0.056,0.0,0.2,11.9,1.9,0.4,0.0,0.0,1.4,0.037,47.0,0.9,7.7,236.6,5.2,697.7,675.1,0.051,5.7,225.0,FOOD-DATA-GROUP2,Carbohydrates out-of-range
268,268,semolina,601,1.8,0.3,0.2,0.7,121.6,0.0,21.2,6.5,0.0,0.097,21.2,0.0,1.4,0.3,0.0,1.0,10.0,1.0,0.2,0.0,0.0,0.4,0.0,28.4,0.3,7.3,78.5,1.0,227.1,310.6,0.1,1.8,186.8,FOOD-DATA-GROUP2,Carbohydrates out-of-range
285,285,brown rice raw,685,5.4,1.1,2.0,1.9,142.9,1.6,14.7,6.5,0.0,0.086,19.2,0.0,0.7,0.014,0.0,0.2,9.4,2.8,0.9,0.0,0.0,2.2,0.024,42.6,0.5,2.7,264.6,6.9,616.1,412.6,0.038,3.7,214.8,FOOD-DATA-GROUP2,Carbohydrates out-of-range
287,287,beef flavored rice raw,657,2.3,0.0,0.0,0.0,139.1,0.0,19.8,2.9,0.0,2.4,15.1,0.0,1.3,0.0,0.0,0.2,9.7,1.0,0.3,0.0,0.0,0.3,0.0,58.6,0.3,5.2,62.2,1.7,228.8,309.3,0.068,2.5,227.9,FOOD-DATA-GROUP2,Carbohydrates out-of-range
289,289,wild rice raw,571,1.7,0.2,0.3,1.1,119.8,4.0,23.6,9.9,0.0,0.051,12.4,0.0,0.2,0.2,0.0,0.4,10.8,1.7,0.6,0.0,0.0,1.3,0.004,33.6,0.8,3.1,283.2,2.1,692.8,683.2,0.025,9.5,191.7,FOOD-DATA-GROUP2,Carbohydrates out-of-range
292,292,chicken flavored rice raw,601,2.2,0.7,0.6,0.8,127.3,4.0,17.9,2.0,0.0,2.1,13.8,0.0,1.0,0.0,0.0,0.2,8.6,0.9,0.3,0.0,0.0,0.3,0.0,30.2,0.3,4.7,52.1,1.7,211.7,257.0,0.011,2.3,184.3,FOOD-DATA-GROUP2,Carbohydrates out-of-range
295,295,parboiled white rice raw,692,1.9,0.5,0.5,0.6,149.6,0.6,13.9,3.3,0.0,0.055,18.2,0.0,1.1,0.5,0.0,0.054,9.3,1.2,0.8,0.0,0.0,0.088,0.078,131.4,0.5,6.2,50.0,1.9,283.1,321.9,0.038,1.9,306.3,FOOD-DATA-GROUP2,Carbohydrates out-of-range
297,297,rice pilaf raw,732,2.8,0.0,0.0,0.0,155.7,3.1,21.3,2.4,0.0,2.7,16.4,0.088,1.2,0.0,0.0,0.2,12.5,1.5,0.8,0.0,0.0,0.066,0.0,169.3,0.3,5.0,65.3,1.8,314.2,383.5,0.037,2.1,356.56,FOOD-DATA-GROUP2,Carbohydrates out-of-range
302,302,glutinous white rice raw,685,1.0,0.2,0.4,0.4,151.1,0.0,12.6,5.2,0.0,0.015,19.4,0.0,0.3,0.017,0.0,0.1,4.0,1.5,0.2,0.0,0.0,0.0,0.0,20.4,0.3,3.0,42.6,1.8,131.4,142.5,0.038,2.2,193.3,FOOD-DATA-GROUP2,Carbohydrates out-of-range
303,303,white rice pasta raw,600,4.0,0.7,1.0,1.6,122.8,0.0,15.3,0.0,3.3,3.0,11.6,0.0,1.2,0.3,0.007,0.4,11.4,1.1,0.2,1.0,0.0,0.0,0.0,75.0,0.4,6.5,65.2,1.7,257.5,340.7,0.099,2.0,224.6,FOOD-DATA-GROUP2,Carbohydrates out-of-range
309,309,white rice raw,675,1.2,0.3,0.4,0.3,147.9,0.2,13.2,2.4,0.0,0.081,21.5,0.0,1.1,0.4,0.0,0.091,7.8,1.9,0.3,0.0,0.0,0.2,0.08,51.8,0.4,8.0,46.3,2.0,212.8,212.8,0.057,2.0,224.5,FOOD-DATA-GROUP2,Carbohydrates out-of-range
110,110,golden raisins,498,0.8,0.2,0.016,0.2,131.2,97.7,5.6,6.6,0.0,0.001,24.7,0.0,0.031,0.067,0.0,0.3,1.9,0.2,0.5,5.3,0.0,0.2,0.066,87.5,0.6,3.0,57.8,0.5,189.8,1230.9,0.062,0.5,240.0,FOOD-DATA-GROUP3,Carbohydrates out-of-range
111,111,raisins seeded,488,0.9,0.3,0.036,0.3,129.5,0.0,4.2,11.2,0.0,0.098,27.3,0.0,0.2,0.092,0.0,0.3,1.8,0.092,0.3,8.9,0.0,0.0,0.0,46.2,0.5,4.3,49.5,0.4,123.8,1361.3,0.058,0.3,205.2,FOOD-DATA-GROUP3,Carbohydrates out-of-range
112,112,zante currants dried,408,0.4,0.009,0.003,0.3,106.7,96.9,5.9,9.8,0.0,0.067,27.7,0.0,0.2,0.07,0.0,0.2,2.3,0.007,0.4,6.8,0.0,0.2,0.07,123.8,0.7,4.7,59.0,0.7,180.0,1284.5,0.098,1.0,258.1,FOOD-DATA-GROUP3,Carbohydrates out-of-range
127,127,mammy apple mamey,431,4.2,1.2,1.7,0.7,105.8,0.0,4.2,25.4,0.0,0.1,729.3,0.0,0.2,0.1,0.0,0.3,3.4,0.9,0.8,118.4,0.0,0.0,0.0,93.1,0.7,5.9,135.4,0.0,93.1,397.6,0.064,0.8,357.0,FOOD-DATA-GROUP3,Carbohydrates out-of-range
209,209,french beans raw,631,3.7,0.4,0.3,2.2,118.0,0.0,34.6,46.4,0.0,0.069,19.8,0.0,1.0,0.7,0.0,0.4,3.8,1.5,0.7,8.5,0.0,0.0,0.0,342.2,0.8,6.3,345.9,2.2,559.4,2421.4,0.049,3.5,559.7,FOOD-DATA-GROUP3,Carbohydrates out-of-range
215,215,pink beans raw,720,2.4,0.6,0.2,1.0,134.8,4.5,44.0,26.7,0.0,0.057,21.1,0.0,1.6,1.0,0.0,0.4,4.0,2.1,1.1,0.0,0.0,0.4,0.007,273.0,1.7,14.2,382.2,2.9,871.5,3074.4,0.077,5.4,495.1,FOOD-DATA-GROUP3,Carbohydrates out-of-range
216,216,navy beans raw,701,3.1,0.4,0.5,2.9,126.4,8.1,46.4,50.8,0.0,0.059,25.2,0.0,1.6,0.8,0.0,0.3,4.6,1.5,0.9,0.0,0.0,0.08,0.018,305.8,1.7,11.4,364.0,2.9,846.6,2464.8,0.028,7.6,543.9,FOOD-DATA-GROUP3,Carbohydrates out-of-range
225,225,pinto beans raw,670,2.4,0.5,0.4,0.8,120.7,4.1,41.3,29.9,0.0,0.036,21.9,0.0,1.4,1.0,0.0,0.4,2.3,1.5,0.9,12.2,0.0,0.4,0.062,218.1,1.7,9.8,339.7,2.2,793.2,2688.5,0.036,4.4,434.4,FOOD-DATA-GROUP3,Carbohydrates out-of-range
226,226,black turtle beans raw,624,1.7,0.4,0.1,0.7,116.4,3.9,39.1,28.5,0.0,0.041,20.2,0.0,1.7,0.8,0.0,0.4,3.6,1.7,0.5,0.0,0.0,0.4,0.032,294.4,1.8,16.0,294.4,1.8,809.6,2760.0,0.005,4.0,496.1,FOOD-DATA-GROUP3,Carbohydrates out-of-range
229,229,hyacinth beans raw,722,3.5,0.6,0.2,1.5,127.6,0.0,50.2,53.8,0.0,0.073,19.7,0.0,2.4,0.008,0.0,0.3,3.4,2.6,0.3,0.0,0.0,0.0,0.0,273.0,2.8,10.7,594.3,3.3,781.2,2593.5,0.062,19.5,518.8,FOOD-DATA-GROUP3,Carbohydrates out-of-range
230,230,white beans raw,673,1.7,0.4,0.1,0.7,121.7,4.3,47.2,30.7,0.0,0.051,22.9,0.0,0.9,0.8,0.0,0.3,1.0,1.5,0.6,0.0,0.0,0.4,0.03,484.8,2.0,21.1,383.8,3.6,608.0,3625.9,0.097,7.4,707.2,FOOD-DATA-GROUP3,Carbohydrates out-of-range
233,233,mung beans raw,718,2.4,0.7,0.3,0.8,129.6,13.7,49.4,33.7,0.0,0.085,18.7,0.0,1.3,1.3,0.0,0.5,4.7,4.0,0.8,9.9,0.0,1.1,0.009,273.2,1.9,14.0,391.2,2.1,759.7,2579.2,0.001,5.5,512.2,FOOD-DATA-GROUP3,Carbohydrates out-of-range
234,234,adzuki beans raw,648,1.0,0.4,0.034,0.2,123.9,0.0,39.1,25.0,0.0,0.06,26.5,0.0,0.9,1.2,0.0,0.4,5.2,2.9,0.7,0.0,0.0,0.0,0.0,130.0,2.2,9.8,250.2,3.4,750.6,2470.4,0.055,9.9,328.8,FOOD-DATA-GROUP3,Carbohydrates out-of-range
236,236,pink lentils raw,662,4.2,0.7,1.0,2.2,113.6,0.0,47.9,20.7,0.0,0.092,22.6,0.0,1.0,0.4,0.0,0.2,2.9,0.7,0.8,3.3,0.0,0.0,0.0,78.7,2.5,14.5,138.2,2.7,564.5,1109.8,0.03,7.5,282.9,FOOD-DATA-GROUP3,Carbohydrates out-of-range
237,237,yellow beans raw,676,5.1,1.3,0.4,2.2,119.0,0.0,43.1,49.2,0.0,0.046,21.8,0.0,1.4,0.8,0.0,0.6,4.8,1.4,0.9,0.0,0.0,0.0,0.0,325.4,1.3,13.7,435.1,2.5,956.5,2042.3,0.074,5.5,555.5,FOOD-DATA-GROUP3,Carbohydrates out-of-range
239,239,lentils raw,678,2.0,0.3,0.4,1.0,115.4,3.9,49.5,58.6,0.0,0.039,20.0,0.0,1.7,0.9,0.0,0.4,5.0,4.1,1.0,8.4,0.0,0.9,0.083,107.5,1.0,14.5,234.2,2.6,865.9,1833.6,0.048,9.2,355.9,FOOD-DATA-GROUP3,Carbohydrates out-of-range
241,241,chickpeas raw,728,12.1,1.3,2.7,5.4,121.3,21.4,38.6,34.8,0.0,0.005,23.1,0.0,1.0,1.1,0.0,0.4,3.1,3.2,1.1,8.0,0.0,1.6,0.004,210.0,1.7,12.5,230.0,4.4,732.0,1750.0,0.095,6.9,437.3,FOOD-DATA-GROUP3,Carbohydrates out-of-range
247,247,mungo beans raw,706,3.4,0.2,0.2,2.2,122.1,0.0,52.2,37.9,0.0,0.004,22.4,0.0,0.6,0.4,0.0,0.5,3.0,1.9,0.6,0.0,0.0,0.0,0.0,285.7,2.0,15.7,552.7,3.2,784.5,2034.8,0.015,6.9,517.0,FOOD-DATA-GROUP3,Carbohydrates out-of-range
248,248,pigeon peas raw,703,3.1,0.7,0.065,1.7,128.7,0.0,44.5,30.8,0.0,0.04,21.7,0.0,1.3,0.9,0.0,0.4,6.1,2.6,0.6,0.0,0.0,0.0,0.0,266.5,2.2,10.7,375.2,3.7,752.4,2853.6,0.022,5.7,484.3,FOOD-DATA-GROUP3,Carbohydrates out-of-range
256,256,mothbeans raw,672,3.2,0.7,0.3,1.5,120.6,0.0,45.0,0.0,0.0,0.001,19.0,0.0,1.1,1.3,0.0,0.2,5.5,3.0,0.7,7.8,0.0,0.0,0.0,294.0,1.3,21.3,746.8,3.6,958.4,2334.4,0.095,3.8,491.9,FOOD-DATA-GROUP3,Carbohydrates out-of-range
260,260,lima beans raw,602,1.2,0.3,0.1,0.6,112.8,15.1,38.2,33.8,0.0,0.078,18.1,0.0,0.9,0.7,0.0,0.4,2.7,2.4,0.9,0.0,0.0,1.3,0.058,144.2,1.3,13.4,398.7,3.0,685.3,3068.7,0.087,5.0,343.6,FOOD-DATA-GROUP3,Carbohydrates out-of-range
263,263,black beans raw,662,2.8,0.7,0.2,1.2,121.0,4.1,41.9,30.1,0.0,0.065,21.4,0.0,1.7,0.9,0.0,0.4,3.8,1.7,0.6,0.0,0.0,0.4,0.026,238.6,1.6,9.7,331.7,2.1,682.9,2877.0,0.057,7.1,444.1,FOOD-DATA-GROUP3,Carbohydrates out-of-range
268,268,yardlong beans raw,579,2.2,0.6,0.2,0.9,103.4,0.0,40.6,18.4,0.0,0.057,14.1,0.0,1.5,1.1,0.0,0.4,3.6,2.6,0.6,2.7,0.0,0.0,0.0,230.5,1.5,14.4,564.5,2.7,933.5,1932.2,0.054,5.8,412.2,FOOD-DATA-GROUP3,Carbohydrates out-of-range
271,271,cranberry beans raw,653,2.4,0.6,0.2,1.0,117.1,0.0,44.9,48.2,0.0,0.014,24.2,0.0,1.5,1.2,0.0,0.4,2.8,1.5,0.6,0.0,0.0,0.0,0.0,247.7,1.5,9.8,304.2,1.8,725.4,2597.4,0.041,7.1,470.1,FOOD-DATA-GROUP3,Carbohydrates out-of-range
283,283,ground lamb cooked,886,61.5,25.4,26.0,4.4,0.0,0.0,77.5,0.0,303.6,0.3,172.4,0.0,0.3,0.062,0.064,0.8,21.0,2.1,0.4,0.0,0.079,0.4,0.003,68.9,0.4,5.6,75.1,0.071,629.1,1061.1,0.024,14.6,213.5,FOOD-DATA-GROUP3,Protein out-of-range
284,284,lamb meat cooked,678,45.0,18.6,19.1,3.2,0.0,0.0,63.8,0.0,240.0,0.2,139.6,0.0,0.3,0.013,0.068,0.7,16.4,1.7,0.4,0.0,0.0,0.0,0.0,40.0,0.3,4.8,60.0,0.07,482.5,795.0,0.026,11.9,153.6,FOOD-DATA-GROUP3,Protein out-of-range
289,289,lamb shank roasted,605,33.5,13.7,14.2,2.4,0.0,0.0,71.0,0.0,242.1,0.2,163.2,0.0,0.3,0.085,0.051,0.7,17.6,1.9,0.4,0.0,0.0,0.4,0.0,26.9,0.3,5.3,67.3,0.089,532.6,876.9,0.057,12.5,136.7,FOOD-DATA-GROUP3,Protein out-of-range
291,291,lamb sirloin cooked,765,54.2,22.9,22.8,3.9,0.0,0.0,64.5,0.0,254.1,0.2,141.8,0.0,0.3,0.086,0.086,0.7,17.3,1.8,0.4,0.0,0.0,0.3,0.0,28.8,0.3,5.2,57.6,0.028,479.5,788.6,0.089,10.8,152.7,FOOD-DATA-GROUP3,Protein out-of-range
302,302,lamb shoulder cooked,750,53.5,22.5,21.9,4.4,0.0,0.0,62.5,0.0,252.9,0.2,98.5,0.0,0.2,0.041,0.024,0.5,13.8,1.3,0.2,0.0,0.0,0.3,0.0,54.5,0.3,5.2,52.3,0.04,405.5,540.6,0.094,13.9,175.7,FOOD-DATA-GROUP3,Protein out-of-range
304,304,lamb leg cooked,684,43.7,18.3,18.4,3.1,0.0,0.0,67.7,0.0,246.5,0.2,152.3,0.0,0.3,0.058,0.065,0.7,17.5,1.8,0.4,0.0,0.099,0.4,0.025,29.2,0.3,5.2,63.6,0.071,506.2,829.5,0.064,11.7,145.8,FOOD-DATA-GROUP3,Protein out-of-range
306,306,veal sirloin cooked,517,26.9,10.6,10.6,1.8,0.0,0.0,64.1,0.0,221.4,0.2,111.7,0.0,0.1,0.032,0.048,0.7,13.5,2.1,0.7,0.0,0.0,0.8,0.0,34.9,0.3,2.5,55.4,0.072,498.2,658.1,0.058,8.9,128.4,FOOD-DATA-GROUP3,Protein out-of-range
